地方,都道府県,県庁所在地,緯度（北緯 N）,経度（東経 E）
北海道,北海道,札幌市,43.064∘,141.348∘
東北,青森県,青森市,40.825∘,140.741∘
東北,岩手県,盛岡市,39.704∘,141.153∘
東北,宮城県,仙台市,38.269∘,140.872∘
東北,秋田県,秋田市,39.718∘,140.103∘
東北,山形県,山形市,38.256∘,140.364∘
東北,福島県,福島市,37.750∘,140.470∘
関東,茨城県,水戸市,36.341∘,140.447∘
関東,栃木県,宇都宮市,36.565∘,139.882∘
関東,群馬県,前橋市,36.391∘,139.060∘
関東,埼玉県,さいたま市,35.860∘,139.645∘
関東,千葉県,千葉市,35.605∘,140.124∘
関東,東京都,新宿区,35.689∘,139.692∘
関東,神奈川県,横浜市,35.447∘,139.642∘
中部,新潟県,新潟市,37.902∘,139.023∘
中部,富山県,富山市,36.695∘,137.211∘
中部,石川県,金沢市,36.561∘,136.656∘
中部,福井県,福井市,36.065∘,136.222∘
中部,山梨県,甲府市,35.662∘,138.568∘
中部,長野県,長野市,36.651∘,138.181∘
中部,岐阜県,岐阜市,35.391∘,136.722∘
中部,静岡県,静岡市,34.975∘,138.383∘
中部,愛知県,名古屋市,35.180∘,136.906∘
近畿,三重県,津市,34.730∘,136.509∘
近畿,滋賀県,大津市,35.005∘,135.869∘
近畿,京都府,京都市,35.021∘,135.756∘
近畿,大阪府,大阪市,34.686∘,135.520∘
近畿,兵庫県,神戸市,34.691∘,135.183∘
近畿,奈良県,奈良市,34.685∘,135.833∘
近畿,和歌山県,和歌山市,34.226∘,135.168∘
中国,鳥取県,鳥取市,35.503∘,134.238∘
中国,島根県,松江市,35.472∘,133.051∘
中国,岡山県,岡山市,34.661∘,133.916∘
中国,広島県,広島市,34.396∘,132.459∘
中国,山口県,山口市,34.186∘,131.474∘
四国,徳島県,徳島市,34.066∘,134.559∘
四国,香川県,高松市,34.343∘,134.047∘
四国,愛媛県,松山市,33.842∘,132.766∘
四国,高知県,高知市,33.559∘,133.532∘
九州・沖縄,福岡県,福岡市,33.591∘,130.401∘
九州・沖縄,佐賀県,佐賀市,33.249∘,130.301∘
九州・沖縄,長崎県,長崎市,32.744∘,129.874∘
九州・沖縄,熊本県,熊本市,32.789∘,130.749∘
九州・沖縄,大分県,大分市,33.238∘,131.613∘
九州・沖縄,宮崎県,宮崎市,31.911∘,131.423∘
九州・沖縄,鹿児島県,鹿児島市,31.560∘,130.558∘
九州・沖縄,沖縄県,那覇市,26.213∘,127.681∘
